316,Manufacturer,Type,Multi Engine,Lowest Year,Highest Year,Date Range,Year Model Filter,Lowest Age,Highest Age,Min Crew Required,Max Operating Altitude (ft),Balanced Field Length (ft),Aircraft Height (ft),Wingspan (ft),Aircraft Length (ft),Aircraft Volume (cubic ft),Cabin Height (ft),Cabin Width (ft),Cabin Length (ft),Cabin Volume (cubic ft),Baggage Volume (cubic ft),Cabin/Aircraft Volume,Range(NM),Speed(KTS),Passengers,Average Price,Depreciation Rate,Average Trip Time,# of Hours,Passenger Pay,Hourly Charter Rate,Average Charter Trip Time,# of Charter Hours,Yearly Charter Profit,Total Fixed Cost,Total Variable Cost,Adjusted Variable Cost,Annual Budget,Adjusted Annual Budget,Multi-Year Total Cost,MYTC w/ Aircraft Sale,Cost To Charter,Own/Charter Ratio,Own/Charter Savings,Best Speed/$,Normalized Speed/$,Best Seat Speed/$,Best Range/$,Normalized Range/$,Best Seat Range/$,Best Performance/$,Normalized Performance/$,Best Seat Performance/$,Best Efficiency/$,Normalized Effieciency/$,Best Seat Efficiency/$,Best All Around/$,Best Seat All Around/$,Total Hourly Cost,Hourly Cost/Seat,Cost/Mile,Cost/Seat Mile,Hourly Variable Cost,Variable Cost/Seat,Variable Cost/Mile,Variable Cost/Seat Mile
DASH 8-Q300,BOMBARDIER,Turboprop,Yes,1997,2010,1997-2010,Yes,14,27,2,"25,000","3,768",24.70,90.00,84.30,"187,399",6.40,8.20,41.60,2183.2,320,8.6,"1,689",271,56,"$6,750,000","$5,503,766",1.5,154,$0,"$1,222.14",0.0,0,$0,"$624,558","$1,099,926","$406,478","$1,724,484","$948,336","$12,737,915","$7,234,149","$3,752,105",1.93,"$3,482,044",47.00,154.04,0.84,75.42,142.14,1.35,148.09,202.89,2.64,229.78,45.26,4.10,124.07,2.22,"$3,832.19",$68.43,$14.14,$0.25,"$2,444.28",$43.65,$9.02,$0.16
G-IVSP,GULFSTREAM,Business Jet,Yes,1992,2002,1992-2002,Yes,22,32,2,"45,000","5,557",25.20,77.80,89.30,"175,078",6.20,7.40,45.10,2069.2,169,8.5,"3,782",476,13,"$5,238,000","$4,270,922",0.8,87,$0,"$3,252.10",0.0,0,$0,"$964,521","$2,926,890","$615,804","$3,891,411","$1,450,325","$13,456,702","$9,185,780","$5,684,343",1.62,"$3,501,437",28.27,89.78,2.17,35.58,60.89,2.74,75.34,102.25,5.80,367.75,72.49,28.29,87.37,6.72,"$8,647.58",$665.20,$18.17,$1.40,"$6,504.20",$500.32,$13.66,$1.05
CITATION SOVEREIGN,CESSNA,Business Jet,Yes,2004,2013,2004-2013,Yes,11,20,2,"47,000","3,714",20.30,63.30,63.50,"81,597",5.80,5.60,25.30,821.7,135,9.9,"2,589",459,9,"$6,839,000","$5,576,334",0.9,91,$0,"$1,943.58",0.0,0,$0,"$848,374","$1,749,222","$381,659","$2,597,596","$1,100,033","$13,601,830","$8,025,496","$3,523,003",2.28,"$4,502,492",29.63,94.46,3.29,52.54,95.47,5.84,94.97,129.41,10.55,230.38,45.37,25.60,87.39,9.71,"$5,772.44",$641.38,$12.58,$1.40,"$3,887.16",$431.91,$8.47,$0.94
G400 (Classic),GULFSTREAM,Business Jet,Yes,2003,2004,2003-2004,Yes,20,21,2,"45,000","5,557",25.20,77.80,89.30,"175,078",6.20,7.40,45.10,2069.2,169,8.5,"3,783",476,13,"$5,500,000","$4,484,550",0.8,87,$0,"$3,255.08",0.0,0,$0,"$1,023,679","$2,929,572","$616,368","$3,953,251","$1,510,047","$14,065,686","$9,581,136","$5,689,552",1.68,"$3,891,584",29.55,94.17,2.27,37.18,64.16,2.86,79.16,107.55,6.09,384.75,75.84,29.60,91.69,7.05,"$8,785.00",$675.77,$18.46,$1.42,"$6,510.16",$500.78,$13.68,$1.05
CITATION CJ3+,CESSNA,Business Jet,Yes,2014,2024,2014-2024,Yes,0,10,1,"45,000","3,354",15.10,53.30,50.20,"40,402",4.90,4.91,15.80,380.1,65,10.6,"1,339",416,7,"$9,448,000","$7,703,641",1.0,100,$0,$995.00,0.0,0,$0,"$530,533","$895,500","$215,583","$1,426,033","$616,116","$14,272,940","$6,569,299","$1,990,000",3.30,"$4,579,299",34.31,110.50,4.90,106.59,205.72,15.23,158.11,216.75,22.59,136.55,26.86,19.51,121.80,17.40,"$3,168.96",$452.71,$7.62,$1.09,"$1,990.00",$284.29,$4.78,$0.68
CITATION XLS+,CESSNA,Business Jet,Yes,2008,2021,2008-2021,Yes,3,16,2,"45,000","3,812",17.20,55.70,51.90,"49,722",5.80,5.60,18.60,604.1,90,8.2,"1,490",440,8,"$8,710,000","$7,101,896",0.9,95,$0,"$1,544.90",0.0,0,$0,"$632,068","$1,390,410","$316,470","$2,022,478","$818,538","$14,410,796","$7,308,900","$2,921,265",2.50,"$4,387,634",32.75,105.15,4.09,96.72,185.58,12.09,145.37,199.12,18.17,202.39,39.85,25.30,119.49,14.94,"$4,494.40",$561.80,$10.21,$1.28,"$3,089.80",$386.23,$7.02,$0.88
FALCON 900C,DASSAULT,Business Jet,Yes,1999,2004,1999-2004,Yes,20,25,2,"51,000","5,015",24.70,63.40,66.40,"103,981",6.20,7.80,33.20,1605.6,127,6.5,"3,364",466,12,"$8,200,000","$6,686,056",0.9,89,$0,"$2,532.68",0.0,0,$0,"$931,269","$2,279,412","$489,869","$3,210,681","$1,291,138","$16,169,633","$9,483,577","$4,521,866",2.10,"$4,961,711",34.70,111.83,2.89,48.07,86.36,4.01,99.09,135.12,8.26,351.52,69.28,29.29,102.20,8.52,"$7,134.85",$594.57,$15.31,$1.28,"$5,065.36",$422.11,$10.87,$0.91
G350,GULFSTREAM,Business Jet,Yes,2005,2012,2005-2012,Yes,12,19,2,"45,000","4,938",25.20,77.80,89.30,"175,078",6.20,7.40,45.10,2069.2,169,8.5,"3,588",476,14,"$7,500,000","$6,115,295",0.8,87,$0,"$3,115.54",0.0,0,$0,"$1,024,760","$2,803,986","$589,945","$3,828,746","$1,484,705","$16,308,232","$10,192,936","$5,445,650",1.87,"$4,747,287",34.26,110.33,2.45,45.45,81.02,3.25,95.68,130.39,6.83,426.97,84.18,30.50,107.28,7.66,"$8,508.32",$607.74,$17.87,$1.28,"$6,231.08",$445.08,$13.09,$0.94
FALCON 2000DX,DASSAULT,Business Jet,Yes,2008,2009,2008-2009,Yes,15,16,2,"47,000","5,167",23.10,66.40,66.30,"101,694",6.20,7.80,31.00,1499.2,131,6.8,"3,294",459,10,"$8,495,000","$6,926,591",0.9,91,$0,"$2,431.86",0.0,0,$0,"$933,721","$2,188,674","$477,542","$3,122,395","$1,281,263","$16,469,723","$9,543,131","$4,408,077",2.16,"$5,135,054",35.88,115.89,3.59,50.00,90.30,5.00,103.09,140.65,10.31,349.04,68.79,34.90,104.72,10.47,"$6,938.66",$693.87,$15.12,$1.51,"$4,863.72",$486.37,$10.60,$1.06
PC-24,PILATUS,Business Jet,Yes,2018,2024,2018-2024,Yes,0,6,1,"45,000","2,810",17.33,55.75,55.16,"53,293",5.10,5.80,23.00,680.3,90,7.8,"1,500",446,10,"$10,775,000","$8,785,641",0.9,93,$0,"$1,196.10",0.0,0,$0,"$641,507","$1,076,490","$241,723","$1,717,997","$753,230","$16,530,509","$7,744,869","$2,231,290",3.47,"$5,513,579",37.06,119.95,3.71,110.20,213.08,11.02,166.51,228.38,16.65,177.33,34.90,17.73,131.64,13.16,"$3,817.77",$381.78,$8.56,$0.86,"$2,392.20",$239.22,$5.36,$0.54
