316,Manufacturer,Type,Multi Engine,Lowest Year,Highest Year,Date Range,Year Model Filter,Lowest Age,Highest Age,Min Crew Required,Max Operating Altitude (ft),Balanced Field Length (ft),Aircraft Height (ft),Wingspan (ft),Aircraft Length (ft),Aircraft Volume (cubic ft),Cabin Height (ft),Cabin Width (ft),Cabin Length (ft),Cabin Volume (cubic ft),Baggage Volume (cubic ft),Cabin/Aircraft Volume,Range(NM),Speed(KTS),Passengers,Average Price,Depreciation Rate,Average Trip Time,# of Hours,Passenger Pay,Hourly Charter Rate,Average Charter Trip Time,# of Charter Hours,Yearly Charter Profit,Total Fixed Cost,Total Variable Cost,Adjusted Variable Cost,Annual Budget,Adjusted Annual Budget,Multi-Year Total Cost,MYTC w/ Aircraft Sale,Cost To Charter,Own/Charter Ratio,Own/Charter Savings,Best Speed/$,Normalized Speed/$,Best Seat Speed/$,Best Range/$,Normalized Range/$,Best Seat Range/$,Best Performance/$,Normalized Performance/$,Best Seat Performance/$,Best Efficiency/$,Normalized Effieciency/$,Best Seat Efficiency/$,Best All Around/$,Best Seat All Around/$,Total Hourly Cost,Hourly Cost/Seat,Cost/Mile,Cost/Seat Mile,Hourly Variable Cost,Variable Cost/Seat,Variable Cost/Mile,Variable Cost/Seat Mile
FALCON 7X,DASSAULT,Business Jet,Yes,2007,2024,2007-2024,Yes,0,17,2,"51,000","5,460",25.70,86.00,76.70,"169,522",6.20,7.80,39.10,1890.9,140,9.0,"5,353",488,12,"$23,100,000","$18,835,109",0.8,85,$0,"$3,403.50",0.0,0,$0,"$1,172,254","$3,063,150","$628,625","$4,235,404","$1,670,879","$35,719,284","$16,884,174","$5,802,689",2.91,"$11,081,486",73.20,243.89,6.10,66.73,124.41,5.56,184.15,252.78,15.35,996.48,196.58,83.04,224.68,18.72,"$9,412.01",$784.33,$19.29,$1.61,"$6,807.00",$567.25,$13.95,$1.16
GLOBAL 6000,BOMBARDIER,Business Jet,Yes,2012,2024,2012-2024,Yes,0,12,2,"51,000","6,314",24.80,94.00,99.30,"231,488",6.30,8.20,48.40,2500.3,195,9.3,"5,743",488,13,"$24,995,000","$20,380,241",0.8,85,$0,"$3,832.12",0.0,0,$0,"$1,221,760","$3,448,908","$707,790","$4,670,668","$1,799,550","$38,607,512","$18,227,271","$6,533,450",2.79,"$11,693,821",79.11,264.19,6.09,67.23,125.43,5.17,194.81,267.52,14.99,"1,212.69",239.26,93.28,253.39,19.49,"$10,379.26",$798.40,$21.27,$1.64,"$7,664.24",$589.56,$15.71,$1.21
FALCON 900LX,DASSAULT,Business Jet,Yes,2010,2024,2010-2024,Yes,0,14,2,"51,000","5,084",24.70,63.40,66.40,"103,981",6.20,7.80,33.20,1605.6,127,6.5,"4,680",459,12,"$27,900,000","$22,748,898",0.9,91,$0,"$2,451.64",0.0,0,$0,"$971,975","$2,206,476","$481,426","$3,178,451","$1,323,401","$39,668,106","$16,919,208","$4,443,931",3.81,"$12,475,277",86.42,289.27,7.20,84.76,161.19,7.06,225.23,309.60,18.77,847.51,167.18,70.63,238.39,19.87,"$7,063.22",$588.60,$15.39,$1.28,"$4,903.28",$408.61,$10.68,$0.89
G650,GULFSTREAM,Business Jet,Yes,2012,2022,2012-2022,Yes,2,12,2,"51,000","6,000",25.80,99.70,99.90,"256,969",6.30,8.20,50.00,2583.0,195,9.9,"6,400",515,18,"$31,950,000","$26,051,158",0.8,81,$0,"$3,592.30",0.0,0,$0,"$1,249,151","$3,233,070","$628,711","$4,482,221","$1,747,862","$46,588,150","$20,536,993","$5,803,483",3.54,"$14,733,510",90.46,303.12,5.03,72.79,136.79,4.04,219.95,302.30,12.22,"1,299.87",256.46,72.22,279.38,15.52,"$9,960.49",$553.36,$19.34,$1.07,"$7,184.60",$399.14,$13.95,$0.78
LINEAGE 1000E,EMBRAER,Business Jet,Yes,2014,2019,2014-2019,Yes,5,10,2,"41,000","5,900",34.70,94.20,118.90,"388,653",6.70,8.90,84.40,5032.8,443,7.7,"4,100",458,19,"$35,000,000","$28,538,044",0.9,91,$0,"$4,237.08",0.0,0,$0,"$1,193,971","$3,813,372","$833,847","$5,007,343","$1,897,818","$50,951,048","$22,413,004","$7,697,054",2.91,"$14,715,950",111.25,374.42,5.86,124.27,241.77,6.54,308.10,424.23,16.22,"1,885.45",372.04,99.23,398.14,20.95,"$11,127.43",$585.65,$24.30,$1.28,"$8,474.16",$446.01,$18.50,$0.97
G650ER,GULFSTREAM,Business Jet,Yes,2014,2024,2014-2024,Yes,0,10,2,"51,000","6,595",25.80,99.70,99.90,"256,969",6.30,8.20,50.00,2583.0,195,9.9,"6,920",515,18,"$38,411,000","$31,319,281",0.8,81,$0,"$3,593.30",0.0,0,$0,"$1,249,151","$3,233,970","$628,886","$4,483,121","$1,748,037","$54,242,903","$22,923,622","$5,805,098",3.95,"$17,118,524",105.33,354.11,5.85,78.39,148.19,4.35,251.15,345.46,13.95,"1,513.87",298.70,84.10,322.08,17.89,"$9,962.49",$553.47,$19.34,$1.07,"$7,186.60",$399.26,$13.95,$0.78
G500,GULFSTREAM,Business Jet,Yes,2018,2024,2018-2024,Yes,0,6,2,"51,000","5,385",25.60,86.40,91.20,"201,720",6.40,7.92,41.60,2108.6,175,9.6,"4,600",515,19,"$39,375,000","$32,105,300",0.8,81,$0,"$2,915.50",0.0,0,$0,"$1,211,683","$2,623,950","$510,260","$3,835,633","$1,591,943","$54,604,413","$22,499,113","$4,710,089",4.78,"$17,789,024",106.03,356.52,5.58,118.71,230.42,6.25,293.47,404.00,15.45,"1,236.50",243.96,65.08,323.98,17.05,"$8,523.63",$448.61,$16.55,$0.87,"$5,831.00",$306.89,$11.32,$0.60
GLOBAL 6500,BOMBARDIER,Business Jet,Yes,2019,2024,2019-2024,Yes,0,5,2,"51,000","6,145",24.80,94.00,99.30,"231,488",6.20,7.92,43.30,2126.2,195,10.9,"6,004",505,17,"$40,000,000","$32,614,908",0.8,82,$0,"$3,506.80",0.0,0,$0,"$1,222,760","$3,156,120","$625,900","$4,378,880","$1,718,660","$55,978,393","$23,363,485","$5,777,540",4.04,"$17,585,945",110.85,373.05,6.52,93.24,178.48,5.48,275.76,379.51,16.22,"1,554.89",306.80,91.46,343.15,20.19,"$9,730.84",$572.40,$19.27,$1.13,"$7,013.60",$412.56,$13.89,$0.82
FALCON 8X,DASSAULT,Business Jet,Yes,2016,2024,2016-2024,Yes,0,8,2,"51,000","5,675",25.60,86.30,80.30,"177,405",6.20,7.80,42.80,2069.8,165,8.6,"6,130",600,12,"$44,000,000","$35,876,399",0.7,69,$0,"$3,235.72",0.0,0,$0,"$1,199,797","$2,912,148","$486,077","$4,111,945","$1,555,874","$59,902,972","$24,026,573","$4,486,865",5.35,"$19,539,708",99.84,335.29,8.32,97.72,187.62,8.14,261.46,359.71,21.79,"1,292.19",254.95,107.68,307.33,25.61,"$9,137.66",$761.47,$15.23,$1.27,"$6,471.44",$539.29,$10.79,$0.90
G600,GULFSTREAM,Business Jet,Yes,2019,2024,2019-2024,Yes,0,5,2,"51,000","5,700",25.30,94.20,96.10,"229,031",6.20,7.70,45.20,2157.8,175,10.6,"5,500",600,19,"$51,950,000","$42,358,612",0.7,69,$0,"$3,077.74",0.0,0,$0,"$1,189,954","$2,769,966","$462,345","$3,959,920","$1,522,299","$69,152,882","$26,794,270","$4,267,799",6.28,"$22,526,471",115.25,388.17,6.07,125.73,244.75,6.62,316.46,435.80,16.66,"1,418.90",279.96,74.68,357.88,18.84,"$8,799.82",$463.15,$14.67,$0.77,"$6,155.48",$323.97,$10.26,$0.54
BBJ,BOEING,Business Jet,Yes,1998,2019,1998-2019,Yes,5,26,2,"41,000","5,987",41.20,117.40,129.40,"625,892",7.00,11.60,79.20,6431.0,640,9.7,"5,987",470,19,"$55,500,000","$45,253,185",0.9,89,$0,"$4,198.90",0.0,0,$0,"$1,301,481","$3,779,010","$805,236","$5,080,491","$1,976,717","$75,630,400","$30,377,215","$7,432,946",4.09,"$22,944,268",160.92,544.80,8.47,126.32,245.96,6.65,395.38,544.97,20.81,"2,702.68",533.34,142.25,539.16,28.38,"$11,289.98",$594.21,$24.02,$1.26,"$8,397.80",$441.99,$17.87,$0.94
GLOBAL 7500,BOMBARDIER,Business Jet,Yes,2018,2024,2018-2024,Yes,0,6,2,"51,000","5,800",27.00,104.00,111.00,"311,688",6.20,8.00,54.50,2703.2,225,11.5,"7,300",530,17,"$64,250,000","$52,387,696",0.8,78,$0,"$3,326.80",0.0,0,$0,"$1,261,225","$2,994,120","$565,765","$4,255,345","$1,696,990","$84,597,253","$32,209,557","$5,222,448",6.17,"$26,987,109",159.62,540.35,9.39,115.89,224.67,6.82,382.51,527.17,22.50,"2,124.06",419.14,124.94,473.15,27.83,"$9,456.32",$556.25,$17.84,$1.05,"$6,653.60",$391.39,$12.55,$0.74
G700,GULFSTREAM,Business Jet,Yes,2023,2024,2023-2024,Yes,0,1,2,"51,000","6,250",25.50,103.00,109.91,"288,679",6.30,8.20,56.92,2940.5,195,9.8,"6,600",600,12,"$75,000,000","$61,152,952",0.7,69,$0,"$3,166.86",0.0,0,$0,"$1,246,573","$2,850,174","$475,733","$4,096,747","$1,592,306","$96,808,576","$35,655,624","$4,391,379",8.12,"$31,264,245",161.35,546.29,13.45,146.68,287.47,12.22,416.88,574.71,34.74,"2,043.86",403.31,170.32,489.01,40.75,"$9,103.88",$758.66,$15.17,$1.26,"$6,333.72",$527.81,$10.56,$0.88
BBJ2,BOEING,Business Jet,Yes,2001,2019,2001-2019,Yes,5,23,2,"41,000","7,029",41.20,117.40,129.40,"625,892",7.00,11.60,98.60,8006.3,814,7.8,"5,503",454,19,"$76,000,000","$61,968,325",0.9,92,$0,"$4,123.00",0.0,0,$0,"$1,301,501","$3,710,700","$818,546","$5,012,201","$1,990,047","$99,981,908","$38,013,583","$7,555,806",5.03,"$30,457,777",220.22,748.26,11.59,181.69,358.87,9.56,553.56,763.78,29.13,"3,631.94",716.75,191.15,740.27,38.96,"$11,138.22",$586.22,$24.53,$1.29,"$8,246.00",$434.00,$18.16,$0.96
BBJ3,BOEING,Business Jet,Yes,2006,2019,2006-2019,Yes,5,18,2,"41,000","7,068",41.20,117.40,129.40,"625,892",7.00,11.60,107.30,8712.8,1200,7.2,"4,670",454,19,"$84,000,000","$68,491,307",0.9,92,$0,"$4,264.00",0.0,0,$0,"$1,311,998","$3,837,600","$846,539","$5,149,598","$2,028,537","$109,651,376","$41,160,070","$7,814,203",5.27,"$33,345,867",241.52,821.32,12.71,234.80,467.19,12.36,644.25,889.24,33.91,"4,119.41",812.97,216.81,851.10,44.79,"$11,443.55",$602.29,$25.21,$1.33,"$8,528.00",$448.84,$18.78,$0.99
ACJ319neo,AIRBUS,Business Jet,Yes,2019,2024,2019-2024,Yes,0,5,2,"41,000","6,100",38.70,117.50,111.00,"504,745",7.60,12.20,78.91,7316.5,976,6.9,"6,750",469,19,"$100,000,000","$81,537,270",0.9,89,$0,"$4,313.40",0.0,0,$0,"$1,243,267","$3,882,060","$828,958","$5,125,327","$1,942,225","$128,173,853","$46,636,584","$7,651,916",6.09,"$38,984,667",273.29,930.30,14.38,189.89,375.59,9.99,652.94,901.26,34.37,"4,715.27",930.57,248.17,915.92,48.21,"$11,389.62",$599.45,$24.28,$1.28,"$8,626.80",$454.04,$18.39,$0.97
ACJ320neo,AIRBUS,Business Jet,Yes,2019,2024,2019-2024,Yes,0,5,2,"41,000","5,840",38.70,117.50,123.30,"560,676",7.60,12.20,89.10,8261.4,1324,6.8,"6,101",469,19,"$108,000,000","$88,060,251",0.9,89,$0,"$4,314.40",0.0,0,$0,"$1,253,648","$3,882,960","$829,150","$5,136,608","$1,952,798","$137,703,738","$49,643,486","$7,653,690",6.49,"$41,989,796",293.61,"1,000.00",15.45,225.71,448.65,11.88,724.32,"1,000.00",38.12,"5,067.03","1,000.00",266.69,"1,000.00",52.63,"$11,414.68",$600.77,$24.34,$1.28,"$8,628.80",$454.15,$18.40,$0.97
